#BBN prediction of the primordial Helium abundance $Y_p$ as 
#function of the baryon density $\omega_b h^2$ and number of 
#extra radiation degrees of freedom $\Delta N$.
#Calculated from Parthenelope fitting function Dec 2014. Errors are guesstimates. 
#neutron lifetime of 880.3 s and CMB temperature 2.7255 K
#Yp^BBN is the BBN-standard nucleon number fraction, Yp is the mass fraction for CMB codes

#Data taken from https://github.com/cmbant/CosmoMC/blob/master/data/BBN_full_Parthenelope_880.3.dat

# format: first line must contain (num_ombh2,num_DeltaN), 
# other lines must contain (ombh2,DeltaN,YHe)
# blank lines and lines starting with # neglected

48  13

0.024  -0.5  0.23903
0.025  -0.5  0.23943
0.026  -0.5  0.2398
0.027  -0.5  0.24015
0.028  -0.5  0.24048
0.029  -0.5  0.24079
0.03  -0.5  0.24107
0.031  -0.5  0.24134
0.032  -0.5  0.24158
0.033  -0.5  0.2418
0.034  -0.5  0.24199
0.035  -0.5  0.24217
0.036  -0.5  0.24232
0.037  -0.5  0.24245
0.038  -0.5  0.24255
0.039  -0.5  0.24264
0.04  -0.5  0.2427
0.005  0.0  0.23428
0.006  0.0  0.23511
0.007  0.0  0.23591
0.008  0.0  0.23669
0.009  0.0  0.23744
0.01  0.0  0.23818
0.011  0.0  0.23889
0.012  0.0  0.23957
0.013  0.0  0.24024
0.014  0.0  0.24088
0.015  0.0  0.2415
0.016  0.0  0.2421
0.017  0.0  0.24268
0.018  0.0  0.24323
0.019  0.0  0.24376
0.02  0.0  0.24427
0.02025  0.0  0.2444
0.0205  0.0  0.24452
0.02075  0.0  0.24464
0.021  0.0  0.24476
0.02125  0.0  0.24488
0.0215  0.0  0.24499
0.02175  0.0  0.24511
0.022  0.0  0.24522
0.02225  0.0  0.24534
0.0225  0.0  0.24545
0.02275  0.0  0.24556
0.023  0.0  0.24567
0.02325  0.0  0.24577
0.0235  0.0  0.24588
0.02375  0.0  0.24598
0.024  0.0  0.24608
0.025  0.0  0.24648
0.026  0.0  0.24685
0.027  0.0  0.24721
0.028  0.0  0.24754
0.029  0.0  0.24784
0.03  0.0  0.24813
0.031  0.0  0.24839
0.032  0.0  0.24863
0.033  0.0  0.24884
0.034  0.0  0.24904
0.035  0.0  0.24921
0.036  0.0  0.24936
0.037  0.0  0.24949
0.038  0.0  0.24959
0.039  0.0  0.24967
0.04  0.0  0.24973
0.005  0.5  0.24081
0.006  0.5  0.24164
0.007  0.5  0.24244
0.008  0.5  0.24322
0.009  0.5  0.24398
0.01  0.5  0.24472
0.011  0.5  0.24543
0.012  0.5  0.24612
0.013  0.5  0.24679
0.014  0.5  0.24743
0.015  0.5  0.24806
0.016  0.5  0.24866
0.017  0.5  0.24923
0.018  0.5  0.24979
0.019  0.5  0.25032
0.02  0.5  0.25083
0.02025  0.5  0.25095
0.0205  0.5  0.25108
0.02075  0.5  0.2512
0.021  0.5  0.25132
0.02125  0.5  0.25143
0.0215  0.5  0.25155
0.02175  0.5  0.25167
0.022  0.5  0.25178
0.02225  0.5  0.25189
0.0225  0.5  0.252
0.02275  0.5  0.25211
0.023  0.5  0.25222
0.02325  0.5  0.25233
0.0235  0.5  0.25243
0.02375  0.5  0.25254
0.024  0.5  0.25264
0.025  0.5  0.25304
0.026  0.5  0.25341
0.027  0.5  0.25376
0.028  0.5  0.25409
0.029  0.5  0.2544
0.03  0.5  0.25468
0.031  0.5  0.25494
0.032  0.5  0.25518
0.033  0.5  0.25539
0.034  0.5  0.25559
0.035  0.5  0.25576
0.036  0.5  0.2559
0.037  0.5  0.25603
0.038  0.5  0.25613
0.039  0.5  0.25621
0.04  0.5  0.25627
0.005  1.0  0.24685
0.006  1.0  0.24768
0.007  1.0  0.24848
